city,pop_2018_est,place,city_y,area_land,place_type,pop_density,mh_spaces
Imperial Beach,27290,36294,Imperial Beach,4.3,Imperial Beach city,6346.51,81.0
Poway,49842,58520,Poway,39.08,Poway city,1275.38,696.0
Valley Center,9059,81736,Valley Center,27.46,Valley Center CDP,329.9,387.0
Concow,743,16035,Concow,27.41,Concow CDP,27.11,
Greenfield,17276,30994,Greenfield,2.14,Greenfield city,8072.9,84.0
Pacific Grove,15567,54848,Pacific Grove,2.86,Pacific Grove city,5443.01,103.0
San Ardo,554,64476,San Ardo,0.45,San Ardo CDP,1231.11,14.0
Seaside,34077,70742,Seaside,9.24,Seaside city,3687.99,488.0
Suisun City,29379,75630,Suisun City,4.11,Suisun City city,7148.18,54.0
Rancho Calaveras,7035,59426,Rancho Calaveras,8.38,Rancho Calaveras CDP,839.5,
Apple Valley,72359,02364,Apple Valley,74.92,Apple Valley town,965.82,1427.0
Barstow,23812,04030,Barstow,41.28,Barstow city,576.84,1296.0
Big River,1145,06635,Big River,10.83,Big River CDP,105.72,
Winchester,2931,85894,Winchester,8.01,Winchester CDP,365.92,
Heber,4686,33084,Heber,1.48,Heber CDP,3166.22,54.0
Salton City,5611,64294,Salton City,21.44,Salton City CDP,261.71,185.0
Cartago,7,11600,Cartago,1.17,Cartago CDP,5.98,4.0
Furnace Creek,127,28021,Furnace Creek,31.2,Furnace Creek CDP,4.07,
Oak Park,13730,53116,Oak Park,5.29,Oak Park CDP,2595.46,
San Buenaventura (Ventura),110234,65042,San Buenaventura (Ventura),21.88,San Buenaventura (Ventura) city,5038.12,
Greenacres,5757,30938,Greenacres,1.9,Greenacres CDP,3030.0,
Green Acres,2542,30944,Green Acres,1.4,Green Acres CDP,1815.71,
Greenfield,3534,30987,Greenfield,1.33,Greenfield CDP,2657.14,84.0
Green Valley (Los Angeles County),973,31092,Green Valley,12.81,Green Valley CDP,75.96,
Green Valley (Solano County),1572,31099,Green Valley,8.41,Green Valley CDP,186.92,
Grimes,358,31288,Grimes,2.26,Grimes CDP,158.41,26.0
Grizzly Flats,1087,31302,Grizzly Flats,6.63,Grizzly Flats CDP,163.95,
Groveland,307,31372,Groveland,9.56,Groveland CDP,32.11,137.0
Guinda,175,31540,Guinda,2.91,Guinda CDP,60.14,
Happy Camp,810,32030,Happy Camp,12.11,Happy Camp CDP,66.89,66.0
Hardwick,30,32156,Hardwick,0.14,Hardwick CDP,214.29,
Hartland,0,32324,Hartland,0.61,Hartland CDP,0.0,
Hartley,2907,32340,Hartley,6.47,Hartley CDP,449.3,
Hasley Canyon,1085,32385,Hasley Canyon,5.74,Hasley Canyon CDP,189.02,
Herald,1058,33294,Herald,7.88,Herald CDP,134.26,
Herlong,1353,33336,Herlong,1.63,Herlong CDP,830.06,63.0
Hiouchi,433,33935,Hiouchi,0.58,Hiouchi CDP,746.55,
Homestead Valley,2723,34392,Homestead Valley,33.88,Homestead Valley CDP,80.37,
Homewood Canyon,35,34405,Homewood Canyon,10.25,Homewood Canyon CDP,3.41,
Honcut,135,34428,Honcut,4.24,Honcut CDP,31.84,
Hood,303,34484,Hood,0.32,Hood CDP,946.88,20.0
Hopland,921,34652,Hopland,3.52,Hopland CDP,261.65,
Hornitos,61,34708,Hornitos,1.17,Hornitos CDP,52.14,
Hat Creek,164,32408,Hat Creek,50.01,Hat Creek CDP,3.28,
Hyampom,165,36098,Hyampom,20.27,Hyampom CDP,8.14,12.0
Idlewild,0,36168,Idlewild,0.46,Idlewild CDP,0.0,
Indianola,686,36420,Indianola,1.41,Indianola CDP,486.52,
Indio Hills,708,36452,Indio Hills,21.86,Indio Hills CDP,32.39,
Jacumba,202,37022,Jacumba,6.13,Jacumba CDP,32.95,20.0
Janesville,1278,37134,Janesville,13.19,Janesville CDP,96.89,31.0
Tustin,80140,80854,Tustin,11.12,Tustin city,7206.83,744.0
Beale AFB,1039,04576,Beale AFB,10.1,Beale AFB CDP,102.87,
Ashland,23635,02980,Ashland,1.84,Ashland CDP,12845.11,
Diablo,364,19150,Diablo,1.36,Diablo CDP,267.65,
Alamo,15317,00618,Alamo,9.67,Alamo CDP,1583.97,
Byron,1348,09346,Byron,6.52,Byron CDP,206.75,67.0
Richmond,109340,60620,Richmond,30.06,Richmond city,3637.39,
Vine Hill,3887,82842,Vine Hill,1.5,Vine Hill CDP,2591.33,
Hilmar-Irwin,5846,33861,Hilmar-Irwin,3.93,Hilmar-Irwin CDP,1487.53,
Belmont,27110,05108,Belmont,4.63,Belmont city,5855.29,91.0
Brisbane,4692,08310,Brisbane,3.1,Brisbane city,1513.55,61.0
Menlo Park,33869,46870,Menlo Park,10.01,Menlo Park city,3383.52,
Millbrae,22703,47486,Millbrae,3.25,Millbrae city,6985.54,
Newman,11119,51140,Newman,2.06,Newman city,5397.57,71.0
Riverdale Park,1301,61106,Riverdale Park,1.45,Riverdale Park CDP,897.24,
Porterville,59797,58240,Porterville,18.65,Porterville city,3206.27,1105.0
Galt,25675,28112,Galt,6.8,Galt city,3775.74,343.0
La Riviera,10851,40410,La Riviera,1.9,La Riviera CDP,5711.05,
Arnold,2605,02770,Arnold,14.79,Arnold CDP,176.13,
Dorrington,205,19570,Dorrington,3.63,Dorrington CDP,56.47,2.0
San Jacinto,47474,67112,San Jacinto,25.71,San Jacinto city,1846.52,1846.0
Arvin,21005,02924,Arvin,4.82,Arvin city,4357.88,228.0
California City,13646,09780,California City,203.61,California City city,67.02,102.0
Derby Acres,380,18926,Derby Acres,3.58,Derby Acres CDP,106.15,
Yreka,7551,86944,Yreka,9.99,Yreka city,755.86,344.0
El Paso de Robles (Paso Robles),31656,22300,El Paso de Robles (Paso Robles),19.64,El Paso de Robles (Paso Robles) city,1611.81,
Moss Landing,61,49488,Moss Landing,0.4,Moss Landing CDP,152.5,145.0
Belvedere,2098,05164,Belvedere,0.52,Belvedere city,4034.62,
Fairfax,7591,23168,Fairfax,2.2,Fairfax town,3450.45,
Cassel,176,11782,Cassel,2.03,Cassel CDP,86.7,18.0
Cedarville,360,12328,Cedarville,5.44,Cedarville CDP,66.18,8.0
Centerville,366,12412,Centerville,8.11,Centerville CDP,45.13,
Chalfant,999,12594,Chalfant,28.02,Chalfant CDP,35.65,
Cherokee,139,12818,Cherokee,1.75,Cherokee CDP,79.43,
Clay,1083,13854,Clay,6.76,Clay CDP,160.21,
Clear Creek,226,13910,Clear Creek,1.13,Clear Creek CDP,200.0,
Cherokee Strip,191,12860,Cherokee Strip,0.09,Cherokee Strip CDP,2122.22,
Clarksburg,442,13784,Clarksburg,2.03,Clarksburg CDP,217.73,
Clearlake Riviera,3933,13985,Clearlake Riviera,5.22,Clearlake Riviera CDP,753.45,
Yosemite Valley,1110,86912,Yosemite Valley,2.06,Yosemite Valley CDP,538.83,
Port Costa,186,58226,Port Costa,0.16,Port Costa CDP,1162.5,
San Pablo,30839,68294,San Pablo,2.63,San Pablo city,11725.86,718.0
Lake Nacimiento,2884,39670,Lake Nacimiento,10.35,Lake Nacimiento CDP,278.65,
Etna,735,22972,Etna,0.76,Etna city,967.11,43.0
Live Oak,8622,41936,Live Oak,3.12,Live Oak city,2763.46,101.0
Sutter,2994,77378,Sutter,3.04,Sutter CDP,984.87,
East Foothills,6278,20598,East Foothills,2.11,East Foothills CDP,2975.36,
Lexington Hills,2603,41282,Lexington Hills,4.72,Lexington Hills CDP,551.48,
Carmel-by-the-Sea,3855,11250,Carmel-by-the-Sea,1.07,Carmel-by-the-Sea city,3602.8,
Del Monte Forest,4197,18590,Del Monte Forest,8.04,Del Monte Forest CDP,522.01,
San Lucas,472,68140,San Lucas,0.39,San Lucas CDP,1210.26,
Spreckels,385,73612,Spreckels,0.12,Spreckels CDP,3208.33,
Fallbrook,33021,23462,Fallbrook,17.5,Fallbrook CDP,1886.91,791.0
Granite Hills,2833,30703,Granite Hills,2.79,Granite Hills CDP,1015.41,
Georgetown,2668,29350,Georgetown,15.13,Georgetown CDP,176.34,33.0
McCloud,1072,44784,McCloud,2.42,McCloud CDP,442.98,
Lompico,887,42510,Lompico,3.37,Lompico CDP,263.2,
Long Barn,93,42622,Long Barn,2.88,Long Barn CDP,32.29,
Lookout,76,43126,Lookout,5.33,Lookout CDP,14.26,
Los Berros,541,44042,Los Berros,2.51,Los Berros CDP,215.54,
Los Olivos,831,44168,Los Olivos,2.46,Los Olivos CDP,337.8,
Los Osos,16292,44182,Los Osos,12.76,Los Osos CDP,1276.8,493.0
Los Ranchos,1730,44242,Los Ranchos,2.83,Los Ranchos CDP,611.31,
Lucerne Valley,5423,44420,Lucerne Valley,105.59,Lucerne Valley CDP,51.36,48.0
Lytle Creek,724,44644,Lytle Creek,6.02,Lytle Creek CDP,120.27,10.0
Mabie,74,44672,Mabie,3.64,Mabie CDP,20.33,
McClellan Park,809,44760,McClellan Park,4.08,McClellan Park CDP,198.28,
McClenney Tract,41,44770,McClenney Tract,0.62,McClenney Tract CDP,66.13,
McGee Creek,0,44830,McGee Creek,4.01,McGee Creek CDP,0.0,
McSwain,4137,45006,McSwain,6.04,McSwain CDP,684.93,
East Whittier,10391,21292,East Whittier,1.09,East Whittier CDP,9533.03,
Jurupa Valley,103784,37692,Jurupa Valley,42.94,Jurupa Valley city,2416.95,36.0
Garden Acres,10701,28182,Garden Acres,2.58,Garden Acres CDP,4147.67,
Lincoln Village,4768,41558,Lincoln Village,0.74,Lincoln Village CDP,6443.24,
Carlsbad,113670,11194,Carlsbad,37.75,Carlsbad city,3011.13,1141.0
Chula Vista,266468,13392,Chula Vista,49.63,Chula Vista city,5369.09,3566.0
Clipper Mills,319,14148,Clipper Mills,1.74,Clipper Mills CDP,183.33,
Coarsegold,1643,14288,Coarsegold,10.99,Coarsegold CDP,149.5,203.0
Coffee Creek,186,14406,Coffee Creek,11.52,Coffee Creek CDP,16.15,
Cohasset,990,14442,Cohasset,25.31,Cohasset CDP,39.11,14.0
Cold Springs (El Dorado County),675,14450,Cold Springs,0.76,Cold Springs CDP,888.16,
Cold Springs (Tuolumne County),108,14454,Cold Springs,1.73,Cold Springs CDP,62.43,
Coleville,515,14484,Coleville,13.79,Coleville CDP,37.35,
College City,239,14554,College City,3.28,College City CDP,72.87,
Coloma,673,14764,Coloma,3.36,Coloma CDP,200.3,
Comptche,83,15030,Comptche,1.15,Comptche CDP,72.17,
Coronita,3138,16420,Coronita,0.6,Coronita CDP,5230.0,
Courtland,537,16714,Courtland,1.8,Courtland CDP,298.33,
Collierville,2642,14708,Collierville,6.59,Collierville CDP,400.91,
Cowan,570,16762,Cowan,0.14,Cowan CDP,4071.43,
Cressey,356,17078,Cressey,1.76,Cressey CDP,202.27,
Creston,30,17232,Creston,0.56,Creston CDP,53.57,1.0
Crowley Lake,889,17372,Crowley Lake,2.81,Crowley Lake CDP,316.37,115.0
Crows Landing,278,17428,Crows Landing,3.18,Crows Landing CDP,87.42,4.0
Cuyama,9,17727,Cuyama,0.45,Cuyama CDP,20.0,
Daphnedale Park,135,17995,Daphnedale Park,1.33,Daphnedale Park CDP,101.5,
Davenport,264,18086,Davenport,2.83,Davenport CDP,93.29,
Delft Colony,653,18450,Delft Colony,0.07,Delft Colony CDP,9328.57,
Descanso,1644,18940,Descanso,19.16,Descanso CDP,85.8,
Desert Center,264,18982,Desert Center,30.42,Desert Center CDP,8.68,107.0
Desert Edge,3343,18986,Desert Edge,2.27,Desert Edge CDP,1472.69,
Desert Palms,6947,19022,Desert Palms,2.67,Desert Palms CDP,2601.87,
Diablo Grande,841,19155,Diablo Grande,5.1,Diablo Grande CDP,164.9,
Dobbins,662,19416,Dobbins,7.75,Dobbins CDP,85.42,74.0
Dogtown,2629,19440,Dogtown,12.97,Dogtown CDP,202.7,
Dos Palos Y,242,19654,Dos Palos Y,1.58,Dos Palos Y CDP,153.16,
Douglas City,668,19724,Douglas City,25.04,Douglas City CDP,26.68,69.0
Downieville,114,19794,Downieville,3.18,Downieville CDP,35.85,8.0
Talmage,921,77784,Talmage,1.59,Talmage CDP,579.25,
Home Garden,1643,34281,Home Garden,0.44,Home Garden CDP,3734.09,
Guerneville,4808,31470,Guerneville,9.71,Guerneville CDP,495.16,8.0
Manton,372,45512,Manton,17.7,Manton CDP,21.02,14.0
Rancho Tehama Reserve,1922,59604,Rancho Tehama Reserve,11.64,Rancho Tehama Reserve CDP,165.12,
Durham,5863,20270,Durham,81.72,Durham CDP,71.74,
Armona,3795,02700,Armona,1.9,Armona CDP,1997.37,
Buena Park,82781,08786,Buena Park,10.52,Buena Park city,7868.92,256.0
San Leandro,90103,68084,San Leandro,13.34,San Leandro city,6754.35,1023.0
Bowles,194,07750,Bowles,0.38,Bowles CDP,510.53,
Huron,7019,36084,Huron,1.59,Huron city,4414.47,21.0
Sanger,24978,67056,Sanger,5.76,Sanger city,4336.46,380.0
Alhambra,84974,00884,Alhambra,7.63,Alhambra city,11136.83,
Bradbury,916,07946,Bradbury,1.96,Bradbury city,467.35,
El Sobrante (Contra Costa County),13736,22454,El Sobrante,2.76,El Sobrante CDP,4976.81,
Floriston,20,24526,Floriston,0.95,Floriston CDP,21.05,
Cleone,804,14008,Cleone,1.59,Cleone CDP,505.66,
Flournoy,171,24568,Flournoy,5.8,Flournoy CDP,29.48,
Forbestown,221,24750,Forbestown,6.27,Forbestown CDP,35.25,15.0
Forest Ranch,538,24918,Forest Ranch,13.92,Forest Ranch CDP,38.65,20.0
Fort Bidwell,181,25030,Fort Bidwell,3.2,Fort Bidwell CDP,56.56,
Fort Irwin,9086,25114,Fort Irwin,6.97,Fort Irwin CDP,1303.59,
Fort Washington,783,25300,Fort Washington,0.12,Fort Washington CDP,6525.0,
Franklin (Merced County),7314,25488,Franklin,2.02,Franklin CDP,3620.79,
Franklin (Sacramento County),117,25506,Franklin,2.11,Franklin CDP,55.45,
Freeport,81,25590,Freeport,0.05,Freeport CDP,1620.0,
French Valley,33818,26067,French Valley,10.87,French Valley CDP,3111.13,
Fruitridge Pocket,6215,27130,Fruitridge Pocket,0.6,Fruitridge Pocket CDP,10358.33,
Fuller Acres,841,27190,Fuller Acres,0.75,Fuller Acres CDP,1121.33,
Fulton,566,28014,Fulton,1.95,Fulton CDP,290.26,
Garberville,1126,28154,Garberville,2.68,Garberville CDP,420.15,12.0
Garden Farms,345,28210,Garden Farms,1.09,Garden Farms CDP,316.51,
Garey,160,29070,Garey,1.26,Garey CDP,126.98,
Garnet,5057,29112,Garnet,7.88,Garnet CDP,641.75,
Gasquet,620,29154,Gasquet,4.76,Gasquet CDP,130.25,153.0
Tiburon,9151,78666,Tiburon,4.48,Tiburon town,2042.63,
Prunedale,19584,58870,Prunedale,46.06,Prunedale CDP,425.18,
Grover Beach,13538,31393,Grover Beach,2.31,Grover Beach city,5860.61,170.0
Hornbrook,215,34694,Hornbrook,1.16,Hornbrook CDP,185.34,26.0
Tennant,18,78176,Tennant,0.24,Tennant CDP,75.0,
Yuba City,66388,86972,Yuba City,14.9,Yuba City city,4455.57,1036.0
Los Altos Hills,8517,43294,Los Altos Hills,8.94,Los Altos Hills town,952.68,
Monte Sereno,3492,48956,Monte Sereno,1.62,Monte Sereno city,2155.56,
Saratoga,30886,70280,Saratoga,12.77,Saratoga city,2418.64,
Sunnyvale,152323,77000,Sunnyvale,21.99,Sunnyvale city,6926.92,3920.0
Cotati,7470,16560,Cotati,1.88,Cotati city,3973.4,112.0
Forestville,3685,24960,Forestville,5.26,Forestville CDP,700.57,33.0
Graton,1877,30812,Graton,1.58,Graton CDP,1187.97,
Occidental,833,53266,Occidental,4.97,Occidental CDP,167.61,
Corning,7535,16322,Corning,3.55,Corning city,2122.54,360.0
Gridley,6585,31260,Gridley,2.08,Gridley city,3165.87,45.0
Tehama,445,78106,Tehama,0.79,Tehama city,563.29,
Casa de Oro-Mount Helix,19635,11691,Casa de Oro-Mount Helix,6.85,Casa de Oro-Mount Helix CDP,2866.42,
San Diego,1401932,66000,San Diego,325.59,San Diego city,4305.82,4747.0
Bradley,107,07974,Bradley,0.09,Bradley CDP,1188.89,93.0
King City,13834,38520,King City,3.9,King City city,3547.18,400.0
Salinas,156550,64224,Salinas,23.43,Salinas city,6681.6,1497.0
Fairfield,114101,23182,Fairfield,41.02,Fairfield city,2781.59,851.0
Alpine Village,155,01228,Alpine Village,2.8,Alpine Village CDP,55.36,
Kirkwood,76,38646,Kirkwood,4.36,Kirkwood CDP,17.43,
San Luis Obispo,47160,68154,San Luis Obispo,13.14,San Luis Obispo city,3589.04,1581.0
Edgewood,40,21530,Edgewood,1.02,Edgewood CDP,39.22,
Gazelle,46,29252,Gazelle,0.58,Gazelle CDP,79.31,17.0
Los Gatos,30922,44112,Los Gatos,11.41,Los Gatos town,2710.08,139.0
Loyola,3364,44378,Loyola,1.43,Loyola CDP,2352.45,
Stanford,15668,73906,Stanford,2.73,Stanford CDP,5739.19,
Alpine,15233,01192,Alpine,26.78,Alpine CDP,568.82,222.0
Camp Pendleton North,7903,10559,Camp Pendleton North,8.85,Camp Pendleton North CDP,892.99,
Dorris,868,19584,Dorris,0.7,Dorris city,1240.0,2.0
Cambria,5725,10074,Cambria,8.51,Cambria CDP,672.74,54.0
Pismo Beach,8116,57414,Pismo Beach,3.6,Pismo Beach city,2254.44,416.0
Tulelake,838,80686,Tulelake,0.41,Tulelake city,2043.9,81.0
Palo Alto,67019,55282,Palo Alto,23.87,Palo Alto city,2807.67,104.0
Shafter,18923,71106,Shafter,38.72,Shafter city,488.71,198.0
Valley Acres,617,81722,Valley Acres,4.12,Valley Acres CDP,149.76,
Martinez,38117,46114,Martinez,12.63,Martinez city,3017.97,
Mountain View,2066,49651,Mountain View,0.29,Mountain View CDP,7124.14,1130.0
Pittsburg,70492,57456,Pittsburg,17.34,Pittsburg city,4065.28,679.0
Walnut Creek,69007,83346,Walnut Creek,19.76,Walnut Creek city,3492.26,
China Lake Acres,1947,13157,China Lake Acres,5.21,China Lake Acres CDP,373.7,
Half Moon Bay,12706,31708,Half Moon Bay,6.43,Half Moon Bay city,1976.05,420.0
Los Banos,38119,44028,Los Banos,9.99,Los Banos city,3815.72,346.0
Atherton,7185,03092,Atherton,5.03,Atherton town,1428.43,
Daly City,106638,17918,Daly City,7.64,Daly City city,13957.85,501.0
Coulterville,38,16644,Coulterville,4.22,Coulterville CDP,9.0,87.0
Avila Beach,1273,03330,Avila Beach,6.01,Avila Beach CDP,211.81,163.0
University of California-Davis,7379,81302,University of California-Davis,1.46,University of California-Davis CDP,5054.11,
Westmorland,2643,84606,Westmorland,0.59,Westmorland city,4479.66,
Clayton,11967,13882,Clayton,3.84,Clayton city,3116.41,203.0
Concord,128758,16000,Concord,30.56,Concord city,4213.29,1412.0
Danville,44417,17988,Danville,18.08,Danville town,2456.69,
Discovery Bay,15981,19339,Discovery Bay,3.78,Discovery Bay CDP,4227.78,
Pacheco,4355,54764,Pacheco,0.74,Pacheco CDP,5885.14,744.0
San Ramon,75384,68378,San Ramon,18.69,San Ramon city,4033.39,
Amador City,167,01514,Amador City,0.31,Amador City city,538.71,
Sutter Creek,2538,77392,Sutter Creek,2.7,Sutter Creek city,940.0,
Clio,65,14106,Clio,0.58,Clio CDP,112.07,
C-Road,97,17267,C-Road,2.66,C-Road CDP,36.47,
East Shore,169,21138,East Shore,1.18,East Shore CDP,143.22,20.0
Greenhorn,254,31029,Greenhorn,6.71,Greenhorn CDP,37.85,
Anderson,10265,02042,Anderson,6.37,Anderson city,1611.46,691.0
Redding,91327,59920,Redding,59.65,Redding city,1531.05,2569.0
Diamond Springs,11989,19220,Diamond Springs,16.64,Diamond Springs CDP,720.49,421.0
Placerville,10860,57540,Placerville,5.84,Placerville city,1859.59,670.0
Pollock Pines,6905,58030,Pollock Pines,7.93,Pollock Pines CDP,870.74,460.0
Jackson,4694,36980,Jackson,3.59,Jackson city,1307.52,289.0
Plymouth,894,57834,Plymouth,2.64,Plymouth city,338.64,75.0
Bishop,3765,06798,Bishop,1.86,Bishop city,2024.19,994.0
Darwin,56,18030,Darwin,1.35,Darwin CDP,41.48,
Lone Pine,1837,42580,Lone Pine,19.03,Lone Pine CDP,96.53,160.0
Mesa,317,47013,Mesa,3.5,Mesa CDP,90.57,
Caribou,0,11166,Caribou,0.16,Caribou CDP,0.0,
Chester,2116,12930,Chester,7.29,Chester CDP,290.26,41.0
Hamilton Branch,612,31883,Hamilton Branch,1.09,Hamilton Branch CDP,561.47,
Lake Davis,65,39483,Lake Davis,5.44,Lake Davis CDP,11.95,
Spring Garden,13,73654,Spring Garden,0.65,Spring Garden CDP,20.0,
Whitehawk,66,85086,Whitehawk,2.58,Whitehawk CDP,25.58,
Manteca,77073,45484,Manteca,20.85,Manteca city,3696.55,734.0
Ripon,15367,61026,Ripon,5.26,Ripon city,2921.48,11.0
Taft Mosswood,951,77595,Taft Mosswood,0.47,Taft Mosswood CDP,2023.4,
Raisin City,389,59290,Raisin City,0.76,Raisin City CDP,511.84,
San Jose,1026658,68000,San Jose,177.1,San Jose city,5797.05,10667.0
San Martin,7010,68238,San Martin,11.6,San Martin CDP,604.31,
San Francisco,870044,67000,San Francisco,46.86,San Francisco city,18566.88,
Santa Clara,126209,69084,Santa Clara,18.4,Santa Clara city,6859.18,
Bonita,13324,07414,Bonita,5.01,Bonita CDP,2659.48,2.0
Harbison Canyon,4223,32044,Harbison Canyon,10.07,Harbison Canyon CDP,419.36,
Denair,5131,18856,Denair,2.09,Denair CDP,2455.02,120.0
Oakdale,22599,52694,Oakdale,6.18,Oakdale city,3656.8,479.0
Los Angeles,3959657,44000,Los Angeles,468.66,Los Angeles city,8448.89,169.0
Palos Verdes Estates,13523,55380,Palos Verdes Estates,4.77,Palos Verdes Estates city,2835.01,
Rolling Hills Estates,8187,62644,Rolling Hills Estates,3.57,Rolling Hills Estates city,2293.28,
Stanton,38509,73962,Stanton,3.1,Stanton city,12422.26,1301.0
Richgrove,2611,60606,Richgrove,0.45,Richgrove CDP,5802.22,
Laguna Beach,23147,39178,Laguna Beach,8.89,Laguna Beach city,2603.71,185.0
Placentia,52049,57526,Placentia,6.61,Placentia city,7874.28,595.0
Fairhaven,145,23196,Fairhaven,0.65,Fairhaven CDP,223.08,
Fort Dick,830,25086,Fort Dick,3.22,Fort Dick CDP,257.76,
Hoopa,3573,34540,Hoopa,20.41,Hoopa CDP,175.06,
Little Valley,18,41908,Little Valley,0.42,Little Valley CDP,42.86,
Pala,1143,55058,Pala,4.18,Pala CDP,273.44,
Westside,182,84863,Westside,2.22,Westside CDP,81.98,
Madison,563,45064,Madison,1.55,Madison CDP,363.23,
Mad River,432,45092,Mad River,35.42,Mad River CDP,12.2,10.0
Manchester,199,45386,Manchester,2.62,Manchester CDP,75.95,12.0
Manila,834,45414,Manila,0.7,Manila CDP,1191.43,
Marin City,3173,45820,Marin City,0.54,Marin City CDP,5875.93,
Martell,300,46100,Martell,2.4,Martell CDP,125.0,24.0
Matheny,1134,46223,Matheny,0.43,Matheny CDP,2637.21,
Mather,4408,46226,Mather,10.03,Mather CDP,439.48,
March ARB,1150,45680,March ARB,11.93,March ARB CDP,96.4,
Maxwell,1096,46338,Maxwell,2.15,Maxwell CDP,509.77,26.0
