city,pop_2018_est,place,city_y,area_land,place_type,pop_density,mh_spaces
Mayfair,5091,46400,Mayfair,0.52,Mayfair CDP,9790.38,
Meadowbrook,3033,46520,Meadowbrook,6.72,Meadowbrook CDP,451.34,
Willows,6022,85684,Willows,2.84,Willows city,2120.42,71.0
Rosemead,54417,62896,Rosemead,5.16,Rosemead city,10545.93,235.0
South San Gabriel,8643,73276,South San Gabriel,0.83,South San Gabriel CDP,10413.25,
Aptos,5797,02378,Aptos,6.58,Aptos CDP,881.0,503.0
Boulder Creek,4712,07652,Boulder Creek,7.51,Boulder Creek CDP,627.43,40.0
Auburn,13946,03204,Auburn,7.18,Auburn city,1942.34,1006.0
Dollar Point,786,19455,Dollar Point,1.64,Dollar Point CDP,479.27,
Ducor,651,20032,Ducor,0.61,Ducor CDP,1067.21,
Exeter,10505,23126,Exeter,2.46,Exeter city,4270.33,190.0
Palm Desert,52124,55184,Palm Desert,26.81,Palm Desert city,1944.2,1064.0
Calipatria,7458,09878,Calipatria,3.7,Calipatria city,2015.68,
Palo Verde,85,55422,Palo Verde,0.59,Palo Verde CDP,144.07,105.0
Seeley,1699,70798,Seeley,1.32,Seeley CDP,1287.12,21.0
Bonadelle Ranchos-Madera Ranchos,8971,07379,Bonadelle Ranchos-Madera Ranchos,11.64,Bonadelle Ranchos-Madera Ranchos CDP,770.7,
Ione,7439,36672,Ione,4.58,Ione city,1624.24,534.0
Independence,542,36350,Independence,4.87,Independence CDP,111.29,48.0
Olancha,213,53490,Olancha,7.84,Olancha CDP,27.17,39.0
Pearsonville,29,56294,Pearsonville,4.14,Pearsonville CDP,7.0,
Tecopa,146,78050,Tecopa,18.59,Tecopa CDP,7.85,21.0
Cromberg,253,17288,Cromberg,9.03,Cromberg CDP,28.02,19.0
Graeagle,596,30560,Graeagle,11.07,Graeagle CDP,53.84,42.0
Indian Falls,54,36364,Indian Falls,1.84,Indian Falls CDP,29.35,
Plumas Eureka,333,57828,Plumas Eureka,3.97,Plumas Eureka CDP,83.88,
Prattville,28,58618,Prattville,0.6,Prattville CDP,46.67,1.0
Quincy,1895,59080,Quincy,4.22,Quincy CDP,449.05,234.0
South Dos Palos,1682,72954,South Dos Palos,1.53,South Dos Palos CDP,1099.35,
Jenner,32,37274,Jenner,2.11,Jenner CDP,15.17,5.0
Johnstonville,1185,37484,Johnstonville,8.36,Johnstonville CDP,141.75,
Junction City,688,37596,Junction City,27.9,Junction City CDP,24.66,31.0
June Lake,508,37624,June Lake,7.99,June Lake CDP,63.58,9.0
Kelly Ridge,2679,38024,Kelly Ridge,1.95,Kelly Ridge CDP,1373.85,
Kennedy Meadows,20,38076,Kennedy Meadows,5.82,Kennedy Meadows CDP,3.44,
Kenwood,800,38156,Kenwood,5.17,Kenwood CDP,154.74,
Big Bend,96,06475,Big Bend,5.73,Big Bend CDP,16.75,33.0
Palo Cedro,1151,55296,Palo Cedro,3.68,Palo Cedro CDP,312.77,9.0
Cobb,920,14302,Cobb,4.98,Cobb CDP,184.74,37.0
Myrtletown,5290,50188,Myrtletown,2.1,Myrtletown CDP,2519.05,
Pine Hills,3146,57204,Pine Hills,10.12,Pine Hills CDP,310.87,
Weaverville,3240,83794,Weaverville,10.42,Weaverville CDP,310.94,127.0
Julian,930,37582,Julian,7.89,Julian CDP,117.87,139.0
Pine Valley,1669,57260,Pine Valley,7.16,Pine Valley CDP,233.1,
Ramona,20260,59346,Ramona,38.43,Ramona CDP,527.19,616.0
Santee,57615,70224,Santee,16.54,Santee city,3483.37,2310.0
Vista,100108,82996,Vista,18.73,Vista city,5344.79,1927.0
Winter Gardens,23088,85992,Winter Gardens,4.42,Winter Gardens CDP,5223.53,
El Verano,3424,22510,El Verano,1.14,El Verano CDP,3003.51,
Kentfield,6930,38114,Kentfield,3.03,Kentfield CDP,2287.13,
Taft,9307,77574,Taft,15.26,Taft city,609.9,132.0
Santa Clarita,209478,69088,Santa Clarita,65.88,Santa Clarita city,3179.69,2110.0
Las Lomas,3755,40592,Las Lomas,1.04,Las Lomas CDP,3610.58,
Culver City,39295,17568,Culver City,5.11,Culver City city,7689.82,117.0
Mayflower Village,5822,46436,Mayflower Village,0.69,Mayflower Village CDP,8437.68,
Montebello,63099,48816,Montebello,8.33,Montebello city,7574.91,199.0
Pico Rivera,63432,56924,Pico Rivera,8.29,Pico Rivera city,7651.63,405.0
Signal Hill,11538,71876,Signal Hill,2.19,Signal Hill city,5268.49,
South Whittier,60096,73430,South Whittier,5.34,South Whittier CDP,11253.93,
Walnut Park,16034,83402,Walnut Park,0.75,Walnut Park CDP,21378.67,
Westlake Village,8424,84438,Westlake Village,5.18,Westlake Village city,1626.25,197.0
Willow Creek,1539,85642,Willow Creek,30.31,Willow Creek CDP,50.78,104.0
Nice,2393,51294,Nice,1.72,Nice CDP,1391.28,140.0
Upper Lake,1050,81358,Upper Lake,1.68,Upper Lake CDP,625.0,142.0
Fortuna,12117,25296,Fortuna,5.11,Fortuna city,2371.23,295.0
Trinidad,272,80448,Trinidad,0.48,Trinidad city,566.67,80.0
Westhaven-Moonstone,1084,84385,Westhaven-Moonstone,8.09,Westhaven-Moonstone CDP,133.99,
Bombay Beach,415,07372,Bombay Beach,0.94,Bombay Beach CDP,441.49,
Niland,515,51392,Niland,0.4,Niland CDP,1287.5,529.0
North Tustin,24736,52379,North Tustin,6.61,North Tustin CDP,3742.21,
Orosi,7441,54372,Orosi,2.45,Orosi CDP,3037.14,128.0
Rancho Cordova,72056,59444,Rancho Cordova,35.02,Rancho Cordova city,2057.57,561.0
Lamont,15222,40088,Lamont,4.59,Lamont CDP,3316.34,224.0
Pine Mountain Club,1803,57240,Pine Mountain Club,16.85,Pine Mountain Club CDP,107.0,
Norco,26569,51560,Norco,13.76,Norco city,1930.89,
Riverside,323935,62000,Riverside,81.25,Riverside city,3986.89,4159.0
Temecula,112230,78120,Temecula,37.27,Temecula city,3011.27,225.0
Gustine,5774,31568,Gustine,1.55,Gustine city,3725.16,115.0
Pacifica,39065,54806,Pacifica,12.66,Pacifica city,3085.7,93.0
Dustin Acres,590,20284,Dustin Acres,3.68,Dustin Acres CDP,160.33,
Ford City,4365,24764,Ford City,1.53,Ford City CDP,2852.94,
Kernville,1007,38310,Kernville,12.6,Kernville CDP,79.92,194.0
Lower Lake,1595,44350,Lower Lake,2.67,Lower Lake CDP,597.38,77.0
Lagunitas-Forest Knolls,1504,39283,Lagunitas-Forest Knolls,4.25,Lagunitas-Forest Knolls CDP,353.88,
Larkspur,12375,40438,Larkspur,3.03,Larkspur city,4084.16,20.0
Tomales,253,78890,Tomales,0.33,Tomales CDP,766.67,
Farmington,89,23630,Farmington,2.54,Farmington CDP,35.04,
Mission Viejo,96124,48256,Mission Viejo,17.7,Mission Viejo city,5430.73,
Amesti,2832,01651,Amesti,2.94,Amesti CDP,963.27,
Corralitos,2381,16434,Corralitos,8.99,Corralitos CDP,264.85,
Lodi,65006,42202,Lodi,13.67,Lodi city,4755.38,905.0
Freedom,3719,25576,Freedom,1.14,Freedom CDP,3262.28,55.0
Scotts Valley,11900,70588,Scotts Valley,4.62,Scotts Valley city,2575.76,529.0
Pleasanton,80847,57792,Pleasanton,24.15,Pleasanton city,3347.7,371.0
Covelo,1165,16728,Covelo,7.1,Covelo CDP,164.08,43.0
Ukiah,15946,81134,Ukiah,4.78,Ukiah city,3335.98,1086.0
Atwater,29197,03162,Atwater,6.09,Atwater city,4794.25,628.0
Oakland,421042,53000,Oakland,55.89,Oakland city,7533.4,49.0
Piedmont,11308,56938,Piedmont,1.7,Piedmont city,6651.76,
Del Rey,1498,18674,Del Rey,1.22,Del Rey CDP,1227.87,
Fowler,6364,25436,Fowler,2.52,Fowler city,2525.4,52.0
Kingsburg,11839,38562,Kingsburg,3.56,Kingsburg city,3325.56,224.0
Orange Cove,9564,54008,Orange Cove,1.79,Orange Cove city,5343.02,
Burbank,104275,08954,Burbank,17.32,Burbank city,6020.5,
Desert View Highlands,2496,19052,Desert View Highlands,0.44,Desert View Highlands CDP,5672.73,
East Los Angeles,119827,20802,East Los Angeles,7.45,East Los Angeles CDP,16084.16,
East Pasadena,5971,20984,East Pasadena,1.32,East Pasadena CDP,4523.48,
Kingvale,73,38604,Kingvale,0.96,Kingvale CDP,76.04,
Knights Landing,869,38800,Knights Landing,0.5,Knights Landing CDP,1738.0,16.0
Keswick,430,38352,Keswick,3.38,Keswick CDP,127.22,
Ladera,1465,39094,Ladera,0.46,Ladera CDP,3184.78,
Ladera Ranch,30288,39114,Ladera Ranch,4.91,Ladera Ranch CDP,6168.64,
La Honda,711,39318,La Honda,4.25,La Honda CDP,167.29,20.0
Lake California,3281,39460,Lake California,6.3,Lake California CDP,520.79,
Lake City,59,39472,Lake City,5.82,Lake City CDP,10.14,
Lake Don Pedro,1030,39484,Lake Don Pedro,12.56,Lake Don Pedro CDP,82.01,
Lakehead,617,39514,Lakehead,4.7,Lakehead CDP,131.28,50.0
Lake Hughes,587,39556,Lake Hughes,10.62,Lake Hughes CDP,55.27,21.0
Lake Mathews,6848,39645,Lake Mathews,15.93,Lake Mathews CDP,429.88,
Lake Riverside,1049,39715,Lake Riverside,7.29,Lake Riverside CDP,143.9,
Lake Sherwood,1835,39735,Lake Sherwood,3.14,Lake Sherwood CDP,584.39,
La Selva Beach,2917,40508,La Selva Beach,5.3,La Selva Beach CDP,550.38,
Las Flores (Orange County),5877,40526,Las Flores,2.22,Las Flores CDP,2647.3,
Las Flores (Tehama County),294,40536,Las Flores,0.36,Las Flores CDP,816.67,
La Vina,239,40872,La Vina,0.1,La Vina CDP,2390.0,
Lee Vining,89,40998,Lee Vining,5.22,Lee Vining CDP,17.05,95.0
Bethel Island,2010,06210,Bethel Island,5.25,Bethel Island CDP,382.86,426.0
Desert Hot Springs,28430,18996,Desert Hot Springs,30.22,Desert Hot Springs city,940.77,3277.0
Friant,548,27014,Friant,1.25,Friant CDP,438.4,32.0
Sunol,962,77042,Sunol,28.01,Sunol CDP,34.34,
Union City,74601,81204,Union City,19.4,Union City city,3845.41,896.0
Caruthers,2773,11614,Caruthers,2.02,Caruthers CDP,1372.77,
Riverdale,3625,61096,Riverdale,3.93,Riverdale CDP,922.39,25.0
Selma,24598,70882,Selma,5.16,Selma city,4767.05,366.0
Davis,67988,18100,Davis,9.89,Davis city,6874.42,531.0
Sierra Brooks,299,71774,Sierra Brooks,1.37,Sierra Brooks CDP,218.25,
Sierra City,152,71778,Sierra City,2.15,Sierra City CDP,70.7,
Sierra Village,330,71834,Sierra Village,2.52,Sierra Village CDP,130.95,
Sierraville,103,71848,Sierraville,5.02,Sierraville CDP,20.52,
Silverado Resort,937,71927,Silverado Resort,1.89,Silverado Resort CDP,495.77,
Silver City,0,71932,Silver City,0.58,Silver City CDP,0.0,
Silver Lakes,5966,71964,Silver Lakes,5.17,Silver Lakes CDP,1153.97,
Sisquoc,148,72086,Sisquoc,2.23,Sisquoc CDP,66.37,
Sky Valley,2430,72156,Sky Valley,24.32,Sky Valley CDP,99.92,
Sleepy Hollow,2200,72184,Sleepy Hollow,2.99,Sleepy Hollow CDP,735.79,
Smartsville,163,72282,Smartsville,0.72,Smartsville CDP,226.39,
Smith Corner,664,72338,Smith Corner,0.22,Smith Corner CDP,3018.18,
Smith River,632,72380,Smith River,3.97,Smith River CDP,159.19,229.0
Snelling,101,72408,Snelling,0.54,Snelling CDP,187.04,77.0
Soda Bay,941,72478,Soda Bay,1.28,Soda Bay CDP,735.16,
Soda Springs,21,72492,Soda Springs,0.34,Soda Springs CDP,61.76,
South Monrovia Island,7192,73167,South Monrovia Island,0.55,South Monrovia Island CDP,13076.36,
Spaulding,110,73554,Spaulding,3.33,Spaulding CDP,33.03,
Spring Valley (Lake County),1081,73690,Spring Valley,4.93,Spring Valley CDP,219.27,
Spring Valley (San Diego County),31591,73696,Spring Valley,7.34,Spring Valley CDP,4303.95,
Spring Valley Lake,7744,73700,Spring Valley Lake,3.03,Spring Valley Lake CDP,2555.78,
Stevenson Ranch,19364,74130,Stevenson Ranch,6.36,Stevenson Ranch CDP,3044.65,
Stevinson,331,74144,Stevinson,1.13,Stevinson CDP,292.92,
Stirling City,307,74186,Stirling City,1.18,Stirling City CDP,260.17,
Stonyford,136,75154,Stonyford,2.9,Stonyford CDP,46.9,7.0
Strawberry (Marin County),5759,75315,Strawberry,1.33,Strawberry CDP,4330.08,
Strawberry (Tuolumne County),5,75322,Strawberry,0.52,Strawberry CDP,9.62,
Sugarloaf Mountain Park,0,75588,Sugarloaf Mountain Park,0.11,Sugarloaf Mountain Park CDP,0.0,
Sugarloaf Saw Mill,0,75592,Sugarloaf Saw Mill,0.1,Sugarloaf Saw Mill CDP,0.0,
Sugarloaf Village,10,75596,Sugarloaf Village,0.07,Sugarloaf Village CDP,142.86,
Sultana,1030,75672,Sultana,0.44,Sultana CDP,2340.91,
Sunnyside,4451,75994,Sunnyside,1.91,Sunnyside CDP,2330.37,
Sunny Slopes,80,76040,Sunny Slopes,1.88,Sunny Slopes CDP,42.55,
Sun Village,13516,77308,Sun Village,10.8,Sun Village CDP,1251.48,
Swall Meadows,218,77430,Swall Meadows,4.46,Swall Meadows CDP,48.88,
Tahoma,867,77728,Tahoma,2.59,Tahoma CDP,334.75,
Tarpey Village,3390,77960,Tarpey Village,0.79,Tarpey Village CDP,4291.14,
Terminous,411,78232,Terminous,0.98,Terminous CDP,419.39,
Hidden Meadows,3386,33532,Hidden Meadows,6.59,Hidden Meadows CDP,513.81,
Jamul,5384,37120,Jamul,16.83,Jamul CDP,319.9,115.0
La Mesa,59562,40004,La Mesa,9.09,La Mesa city,6552.48,345.0
Aromas,2553,02812,Aromas,4.74,Aromas CDP,538.61,1.0
Boronda,1066,07578,Boronda,0.57,Boronda CDP,1870.18,
Gonzales,8402,30392,Gonzales,1.89,Gonzales city,4445.5,14.0
Marina,21608,45778,Marina,8.89,Marina city,2430.6,399.0
Pajaro,3561,55044,Pajaro,0.93,Pajaro CDP,3829.03,
Vacaville,97943,81554,Vacaville,29.22,Vacaville city,3351.92,1090.0
Coto de Caza,14931,16580,Coto de Caza,7.72,Coto de Caza CDP,1934.07,
La Palma,15733,40256,La Palma,1.78,La Palma city,8838.76,
Newport Beach,86280,51182,Newport Beach,23.82,Newport Beach city,3622.17,795.0
San Clemente,65045,65084,San Clemente,18.36,San Clemente city,3542.76,413.0
Loma Rica,3088,42412,Loma Rica,18.49,Loma Rica CDP,167.01,
Berkeley,120926,06000,Berkeley,10.47,Berkeley city,11549.76,
Fremont,233083,26000,Fremont,77.46,Fremont city,3009.08,732.0
Auberry,2476,03190,Auberry,19.15,Auberry CDP,129.3,112.0
Firebaugh,8295,24134,Firebaugh,3.52,Firebaugh city,2356.53,98.0
Squaw Valley,3449,73794,Squaw Valley,56.56,Squaw Valley CDP,60.98,
Avocado Heights,15903,03344,Avocado Heights,2.71,Avocado Heights CDP,5868.27,
Bellflower,77529,04982,Bellflower,6.12,Bellflower city,12668.14,1423.0
Calabasas,24077,09598,Calabasas,13.68,Calabasas city,1760.01,224.0
Arden-Arcade,100548,02553,Arden-Arcade,17.85,Arden-Arcade CDP,5632.94,
Citrus Heights,87061,13588,Citrus Heights,14.23,Citrus Heights city,6118.13,1886.0
Gold River,7523,30345,Gold River,2.66,Gold River CDP,2828.2,
Wilton,5307,85880,Wilton,29.0,Wilton CDP,183.0,42.0
Mesa Vista,278,47086,Mesa Vista,4.88,Mesa Vista CDP,56.97,
Cayucos,2692,12132,Cayucos,3.1,Cayucos CDP,868.39,104.0
Templeton,7938,78162,Templeton,7.89,Templeton CDP,1006.08,156.0
Dunsmuir,1589,20242,Dunsmuir,1.6,Dunsmuir city,993.12,118.0
Greenview,283,31134,Greenview,1.3,Greenview CDP,217.69,
Macdoel,105,44812,Macdoel,0.15,Macdoel CDP,700.0,
Weed,2677,83850,Weed,4.78,Weed city,560.04,143.0
Cambrian Park,3094,10088,Cambrian Park,0.6,Cambrian Park CDP,5156.67,
Campbell,42470,10345,Campbell,6.08,Campbell city,6985.2,243.0
Cupertino,60614,17610,Cupertino,11.31,Cupertino city,5359.33,
Gilroy,55525,29504,Gilroy,16.47,Gilroy city,3371.28,349.0
Larkfield-Wikiup,8926,40426,Larkfield-Wikiup,5.31,Larkfield-Wikiup CDP,1680.98,
Chino Hills,79298,13214,Chino Hills,44.68,Chino Hills city,1774.8,632.0
Fontana,208943,24680,Fontana,43.08,Fontana city,4850.12,1423.0
Rancho Cucamonga,175679,59451,Rancho Cucamonga,40.12,Rancho Cucamonga city,4378.84,1356.0
Upland,76382,81344,Upland,15.61,Upland city,4893.15,865.0
Mono Vista,3504,48641,Mono Vista,2.84,Mono Vista CDP,1233.8,
East Quincy,2622,21026,East Quincy,12.11,East Quincy CDP,216.52,51.0
Johnsville,0,37512,Johnsville,13.76,Johnsville CDP,0.0,
Keddie,41,37904,Keddie,0.66,Keddie CDP,62.12,
Madera Acres,9946,45050,Madera Acres,7.28,Madera Acres CDP,1366.21,
Parkwood,1853,55842,Parkwood,0.7,Parkwood CDP,2647.14,
Mokelumne Hill,637,48480,Mokelumne Hill,3.08,Mokelumne Hill CDP,206.82,
Rail Road Flat,283,59220,Rail Road Flat,33.01,Rail Road Flat CDP,8.57,
East Sonora,2189,21188,East Sonora,2.48,East Sonora CDP,882.66,
North Edwards,944,51812,North Edwards,12.75,North Edwards CDP,74.04,
Fellows,49,23812,Fellows,0.69,Fellows CDP,71.01,
Maricopa,1175,45736,Maricopa,1.5,Maricopa city,783.33,
Ridgecrest,28736,60704,Ridgecrest,20.88,Ridgecrest city,1376.25,1078.0
Tupman,186,80784,Tupman,0.53,Tupman CDP,350.94,
Weldon,2181,83948,Weldon,26.66,Weldon CDP,81.81,
Meiners Oaks,3508,46702,Meiners Oaks,1.41,Meiners Oaks CDP,2487.94,
Oak View,4720,53182,Oak View,1.96,Oak View CDP,2408.16,101.0
Piru,2019,57372,Piru,2.81,Piru CDP,718.51,9.0
Blue Lake,981,07162,Blue Lake,0.59,Blue Lake city,1662.71,41.0
Cutten,3029,17722,Cutten,1.29,Cutten CDP,2348.06,
Ferndale,1365,23910,Ferndale,1.03,Ferndale city,1325.24,13.0
Hydesville,978,36126,Hydesville,7.5,Hydesville CDP,130.4,37.0
Antioch,110730,02252,Antioch,29.35,Antioch city,3772.74,379.0
Clyde,676,14232,Clyde,0.14,Clyde CDP,4828.57,
Kensington,5415,38086,Kensington,0.95,Kensington CDP,5700.0,
Knightsen,1500,38772,Knightsen,8.36,Knightsen CDP,179.43,
Orinda,19431,54232,Orinda,12.85,Orinda city,1512.14,
Lake Isabella,3454,39570,Lake Isabella,21.71,Lake Isabella CDP,159.1,298.0
Bear Valley (Mariposa County),203,04730,Bear Valley,7.24,Bear Valley CDP,28.04,
Bella Vista,2614,04926,Bella Vista,22.2,Bella Vista CDP,117.75,
Big Creek,188,06518,Big Creek,0.46,Big Creek CDP,408.7,
Big Lagoon,118,06567,Big Lagoon,0.6,Big Lagoon CDP,196.67,
Blackhawk,9860,06928,Blackhawk,5.8,Blackhawk CDP,1700.0,
Blacklake,892,06935,Blacklake,1.05,Blacklake CDP,849.52,
Boonville,852,07512,Boonville,5.54,Boonville CDP,153.79,7.0
Bloomfield,387,07036,Bloomfield,8.14,Bloomfield CDP,47.54,
Citrus,10771,13560,Citrus,0.89,Citrus CDP,12102.25,
Grenada,477,31246,Grenada,0.52,Grenada CDP,917.31,
Norwalk,105886,52526,Norwalk,9.71,Norwalk city,10904.84,441.0
Taft Heights,2424,77588,Taft Heights,0.3,Taft Heights CDP,8080.0,
Biola,1451,06728,Biola,0.53,Biola CDP,2737.74,
Santa Cruz,64273,69112,Santa Cruz,12.74,Santa Cruz city,5044.98,2026.0
Ceres,47975,12524,Ceres,9.36,Ceres city,5125.53,949.0
Hawaiian Gardens,14411,32506,Hawaiian Gardens,0.95,Hawaiian Gardens city,15169.47,247.0
La Puente,40268,40340,La Puente,3.48,La Puente city,11571.26,871.0
Monterey Park,60792,48914,Monterey Park,7.67,Monterey Park city,7925.95,25.0
Paramount,54776,55618,Paramount,4.73,Paramount city,11580.55,1418.0
San Fernando,24585,66140,San Fernando,2.37,San Fernando city,10373.42,76.0
Santa Monica,92078,70000,Santa Monica,8.42,Santa Monica city,10935.63,10.0
South El Monte,20727,72996,South El Monte,2.84,South El Monte city,7298.24,
South Gate,95103,73080,South Gate,7.24,South Gate city,13135.77,239.0
South Pasadena,25824,73220,South Pasadena,3.41,South Pasadena city,7573.02,
West Covina,107242,84200,West Covina,16.04,West Covina city,6685.91,265.0
West Hollywood,36384,84410,West Hollywood,1.89,West Hollywood city,19250.79,
Garden Grove,174010,29000,Garden Grove,17.96,Garden Grove city,9688.75,1489.0
Laguna Niguel,65652,39248,Laguna Niguel,14.74,Laguna Niguel city,4454.0,
Yorba Linda,67815,86832,Yorba Linda,19.84,Yorba Linda city,3418.09,290.0
Challenge-Brownsville,864,12612,Challenge-Brownsville,9.7,Challenge-Brownsville CDP,89.07,
Linda,19314,41572,Linda,8.58,Linda CDP,2251.05,
Wheatland,3747,85012,Wheatland,8.12,Wheatland city,461.45,60.0
Santa Maria,105483,69196,Santa Maria,22.78,Santa Maria city,4630.51,2201.0
Buellton,5092,08758,Buellton,1.58,Buellton city,3222.78,308.0
Guadalupe,7350,31414,Guadalupe,1.31,Guadalupe city,5610.69,
Santa Barbara,91325,69070,Santa Barbara,19.5,Santa Barbara city,4683.33,1388.0
Fall River Mills,273,23532,Fall River Mills,2.59,Fall River Mills CDP,105.41,
French Gulch,441,26056,French Gulch,12.33,French Gulch CDP,35.77,85.0
Montgomery Creek,61,48998,Montgomery Creek,3.25,Montgomery Creek CDP,18.77,7.0
Shasta Lake,10142,71225,Shasta Lake,10.92,Shasta Lake city,928.75,251.0
Vincent,17008,82815,Vincent,1.47,Vincent CDP,11570.07,
Temescal Valley,26709,78138,Temescal Valley,19.34,Temescal Valley CDP,1381.02,
Whitewater,976,85208,Whitewater,9.88,Whitewater CDP,98.79,
Pleasure Point,6277,57825,Pleasure Point,0.75,Pleasure Point CDP,8369.33,
Contra Costa Centre,6497,16090,Contra Costa Centre,0.64,Contra Costa Centre CDP,10151.56,
Esparto,3783,22846,Esparto,4.6,Esparto CDP,822.39,90.0
Aptos Hills-Larkin Valley,1993,02382,Aptos Hills-Larkin Valley,9.26,Aptos Hills-Larkin Valley CDP,215.23,
Ben Lomond,7071,05332,Ben Lomond,8.36,Ben Lomond CDP,845.81,46.0
Capitola,10135,11040,Capitola,1.59,Capitola city,6374.21,679.0
Lanare,234,40116,Lanare,2.02,Lanare CDP,115.84,
Laton,2166,40746,Laton,1.94,Laton CDP,1116.49,
Mendota,11393,46828,Mendota,3.3,Mendota city,3452.42,35.0
Tranquillity,839,80266,Tranquillity,0.62,Tranquillity CDP,1353.23,
Bell Gardens,42641,04996,Bell Gardens,2.46,Bell Gardens city,17333.74,412.0
Beverly Hills,34362,06308,Beverly Hills,5.71,Beverly Hills city,6017.86,
Covina,48403,16742,Covina,7.03,Covina city,6885.21,884.0
Del Aire,10065,18352,Del Aire,1.01,Del Aire CDP,9965.35,
Downey,112901,19766,Downey,12.41,Downey city,9097.58,190.0
Glendale,200372,30000,Glendale,30.47,Glendale city,6576.04,
